Energy_MeV_n z1 z2 z3 z4 z5 z6 z7 z8 z9 z10 z11 z12 z13 z14 z15 z16 z17 z18
3.00000e-02 7.23627e+02 1.11690e+03 2.23800e+03 2.79700e+03 3.25300e+03 2.77700e+03 3.94600e+03 4.22800e+03 4.46700e+03 4.68300e+03 4.85400e+03 5.02900e+03 5.19300e+03 5.35200e+03 5.51500e+03 5.66500e+03 5.83600e+03 5.95400e+03
4.00000e-02 7.83926e+02 1.28660e+03 2.53200e+03 3.20500e+03 3.76600e+03 3.24070e+03 4.64500e+03 5.00500e+03 5.31200e+03 5.58700e+03 5.81300e+03 6.02000e+03 6.21500e+03 6.40100e+03 6.58800e+03 6.76600e+03 6.95700e+03 7.09200e+03
5.00000e-02 8.26883e+02 1.42900e+03 2.76400e+03 3.54600e+03 4.20400e+03 3.64800e+03 5.25400e+03 5.69000e+03 6.06400e+03 6.39900e+03 6.68400e+03 6.92900e+03 7.16000e+03 7.37800e+03 7.59500e+03 7.80200e+03 8.01500e+03 8.16700e+03
6.00000e-02 8.52845e+02 1.54880e+03 2.94300e+03 3.82900e+03 4.58200e+03 4.01270e+03 5.79600e+03 6.30200e+03 6.73900e+03 7.13300e+03 7.47700e+03 7.76300e+03 8.03500e+03 8.28900e+03 8.53900e+03 8.77900e+03 9.01700e+03 9.18900e+03
7.00000e-02 8.65989e+02 1.64910e+03 3.07700e+03 4.06000e+03 4.90500e+03 4.34040e+03 6.28000e+03 6.85600e+03 7.35400e+03 7.80300e+03 8.20600e+03 8.53100e+03 8.84600e+03 9.13700e+03 9.42200e+03 9.69700e+03 9.96300e+03 1.01500e+04
8.00000e-02 8.69618e+02 1.73310e+03 3.17600e+03 4.24500e+03 5.17800e+03 4.63530e+03 6.71200e+03 7.35700e+03 7.91500e+03 8.41800e+03 8.87800e+03 9.24300e+03 9.59900e+03 9.92800e+03 1.02400e+04 1.05500e+04 1.08500e+04 1.10700e+04
9.00000e-02 8.66015e+02 1.80320e+03 3.24700e+03 4.39000e+03 5.40400e+03 4.90140e+03 7.09400e+03 7.80800e+03 8.42700e+03 8.98600e+03 9.50200e+03 9.90500e+03 1.03000e+04 1.06600e+04 1.10200e+04 1.13600e+04 1.16900e+04 1.19300e+04
1.00000e-01 8.57116e+02 1.86100e+03 3.29600e+03 4.50200e+03 5.58800e+03 5.14130e+03 7.42800e+03 8.21200e+03 8.89200e+03 9.50700e+03 1.00800e+04 1.05200e+04 1.09600e+04 1.13600e+04 1.17500e+04 1.21300e+04 1.24800e+04 1.27500e+04
1.50000e-01 7.74518e+02 2.00800e+03 3.35400e+03 4.75100e+03 6.08600e+03 6.00430e+03 8.51700e+03 9.60900e+03 1.05800e+04 1.14700e+04 1.23400e+04 1.30000e+04 1.36500e+04 1.42500e+04 1.48300e+04 1.53800e+04 1.58900e+04 1.62900e+04
2.00000e-01 6.82190e+02 2.00200e+03 3.28200e+03 4.76000e+03 6.21600e+03 6.45440e+03 8.98900e+03 1.02800e+04 1.14700e+04 1.25800e+04 1.37100e+04 1.45700e+04 1.54500e+04 1.62500e+04 1.70400e+04 1.77900e+04 1.84800e+04 1.90300e+04
2.50000e-01 6.04119e+02 1.92200e+03 3.17600e+03 4.68600e+03 6.20300e+03 6.63100e+03 9.17200e+03 1.05900e+04 1.19100e+04 1.31800e+04 1.45000e+04 1.55100e+04 1.65700e+04 1.75500e+04 1.85100e+04 1.94500e+04 2.03100e+04 2.10300e+04
3.00000e-01 5.41992e+02 1.80930e+03 3.06100e+03 4.58100e+03 6.13000e+03 6.62910e+03 9.21600e+03 1.07200e+04 1.21300e+04 1.34900e+04 1.49400e+04 1.60700e+04 1.72500e+04 1.83700e+04 1.94800e+04 2.05600e+04 2.15700e+04 2.24400e+04
4.00000e-01 4.52070e+02 1.56990e+03 2.83900e+03 4.34600e+03 5.91500e+03 6.42010e+03 9.11900e+03 1.07200e+04 1.22300e+04 1.37100e+04 1.53300e+04 1.65800e+04 1.79300e+04 1.92200e+04 2.05300e+04 2.18200e+04 2.30400e+04 2.41100e+04
5.00000e-01 3.91800e+02 1.38100e+03 2.63900e+03 4.11300e+03 5.67600e+03 6.17800e+03 8.92300e+03 1.05700e+04 1.21300e+04 1.36700e+04 1.54000e+04 1.67000e+04 1.81600e+04 1.95500e+04 2.09900e+04 2.24100e+04 2.37700e+04 2.49600e+04
6.00000e-01 3.48357e+02 1.23470e+03 2.46100e+03 3.89600e+03 5.43900e+03 5.95650e+03 8.69200e+03 1.03600e+04 1.19500e+04 1.35200e+04 1.53300e+04 1.66600e+04 1.81700e+04 1.96400e+04 2.11600e+04 2.26700e+04 2.41100e+04 2.53900e+04
7.00000e-01 3.14941e+02 1.11960e+03 2.30500e+03 3.69600e+03 5.21200e+03 5.75860e+03 8.45100e+03 1.01300e+04 1.17300e+04 1.33200e+04 1.51800e+04 1.65200e+04 1.80800e+04 1.95800e+04 2.11700e+04 2.27400e+04 2.42500e+04 2.55900e+04
8.00000e-01 2.88147e+02 1.02690e+03 2.16700e+03 3.51300e+03 4.99800e+03 5.58090e+03 8.21000e+03 9.89300e+03 1.15000e+04 1.31000e+04 1.49800e+04 1.63300e+04 1.79100e+04 1.94500e+04 2.10800e+04 2.27000e+04 2.42500e+04 2.56400e+04
9.00000e-01 2.66134e+02 9.50220e+02 2.04400e+03 3.34600e+03 4.79900e+03 5.41680e+03 7.97400e+03 9.65300e+03 1.12500e+04 1.28600e+04 1.47700e+04 1.61100e+04 1.77100e+04 1.92700e+04 2.09300e+04 2.25900e+04 2.41800e+04 2.55900e+04
1.00000e+00 2.47565e+02 8.85800e+02 1.93300e+03 3.19300e+03 4.61200e+03 5.26270e+03 7.74600e+03 9.41500e+03 1.10100e+04 1.26100e+04 1.45400e+04 1.58700e+04 1.74900e+04 1.90600e+04 2.07500e+04 2.24300e+04 2.40500e+04 2.54900e+04
1.50000e+00 1.86349e+02 6.69600e+02 1.52300e+03 2.59200e+03 3.84800e+03 4.60960e+03 6.74100e+03 8.33200e+03 9.87500e+03 1.14300e+04 1.33800e+04 1.46600e+04 1.62800e+04 1.78700e+04 1.96000e+04 2.13600e+04 2.30400e+04 2.45300e+04
2.00000e+00 1.51324e+02 5.45300e+02 1.25700e+03 2.17900e+03 3.29200e+03 4.09370e+03 5.94100e+03 7.43400e+03 8.90100e+03 1.03900e+04 1.23000e+04 1.35300e+04 1.51200e+04 1.66800e+04 1.84100e+04 2.01700e+04 2.18600e+04 2.33500e+04
2.50000e+00 1.28326e+02 4.63400e+02 1.07200e+03 1.87900e+03 2.87200e+03 3.67900e+03 5.29800e+03 6.69500e+03 8.08200e+03 9.50600e+03 1.13400e+04 1.25200e+04 1.40700e+04 1.56000e+04 1.72900e+04 1.90300e+04 2.07000e+04 2.21800e+04
3.00000e+00 1.11928e+02 4.04260e+02 9.37200e+02 1.65300e+03 2.54700e+03 3.34480e+03 4.77500e+03 6.07900e+03 7.38900e+03 8.74400e+03 1.05100e+04 1.16400e+04 1.31400e+04 1.46200e+04 1.62800e+04 1.79800e+04 1.96200e+04 2.10800e+04
4.00000e+00 8.98473e+01 3.26070e+02 7.52000e+02 1.33500e+03 2.07600e+03 2.82760e+03 3.97900e+03 5.12100e+03 6.29100e+03 7.51700e+03 9.13100e+03 1.01800e+04 1.15700e+04 1.29600e+04 1.45300e+04 1.61500e+04 1.77100e+04 1.91100e+04
5.00000e+00 7.55571e+01 2.74700e+02 6.31300e+02 1.12300e+03 1.75500e+03 2.42500e+03 3.40700e+03 4.41500e+03 5.46600e+03 6.57800e+03 8.04900e+03 9.03100e+03 1.03200e+04 1.16200e+04 1.30900e+04 1.46200e+04 1.61100e+04 1.74500e+04
